x0_1.0,x0_2.0,x0_10.0,x0_15.0,x0_17.0,x0_19.0,x0_20.0,x0_22.0,x0_23.0,x0_24.0,x0_25.0,x0_26.0,x0_27.0,x0_28.0,x0_29.0,x0_43.0,x1_0.0,x1_1.0,x2_0.0,x2_1.0,x3_0.0,x3_1.0,views,likes,dislikes,view_log,like_rate,dislike_rate,interaction_rate,total_trending_days
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3489106019384571,0.2102232419944253,0.07621801807595822,1.2455892256851837,-0.533575049156377,-0.13125071366495727,-0.5661215109881255,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.27475949120954196,-0.2865042550778925,-0.09504482293435519,-1.5733418574737454,-1.0463446929924611,-0.12856342756694977,-1.0692309826839692,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9902379003899722,0.918443439927219,0.0074377606420974185,1.6258256323675406,-0.02384983488915515,-0.3063278786664598,-0.18528600829934985,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2642554715791927,-0.2606150849206103,-0.0951698779478713,-0.810953743082229,0.33753490323357693,-0.3440277372343791,0.14916252227522667,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.227275912198561,-0.2408177876375561,-0.08579075193416301,-0.11018428480272577,-0.3066011957883331,-0.1905647612989233,-0.3442898978186929,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.053459278861484986,-0.05130431651212298,-0.020512034878753294,0.6916189977669857,-0.23590108672460755,-0.059058150343217077,-0.31342977722817006,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.7199410190413387,1.5508788823408275,0.15065701487142305,1.8711145652706722,-0.16337627157210208,-0.2717042015268886,-0.2931352781429933,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.20162862710746116,-0.27391816717516915,-0.05809106644034452,0.11018233731869283,-1.0179959497521875,0.09190625707155858,-0.8280038908203583,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.07217658781137284,0.4429884947036025,-0.03842616556493613,0.6446706993135686,2.488465772335494,-0.11895741125369359,2.845431274949491,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.21054539469173306,-0.18869384572894146,-0.08998009488695272,0.04330221050203887,0.679613909998419,-0.3033038561251502,0.5001156131840347,
